fatiado_148|Cara ái? Ah, aposto que ele é fofinho.
fatiado_149|Deixa eu ver se peguei o raciocinio. Eu posso insultar quem eu bem entender sem ter medo de acabar me machucando. Eu já devia ter sido preso a muito tempo. É o paraiso de quem gosta de fazer uma piada.
fatiado_150|Vamos jogar um pouquinho pra ver como é que estamos, né?
fatiado_151|Liga não bobo, estamos só esquentando.
fatiado_152|Alguém vai jogar alguma bola de volta pra mim? Quer saber? Porque que você não saca?
fatiado_153|Eu vou adivinhr. Lola aprendeu a jogar tenis com você, né?
fatiado_154|Com licença, me empresta aqui? obrigado.
fatiado_155|Ganhei, nossa foi tão fácil.
fatiado_156|Três, dois.
fatiado_157|Que beleza, deviamos dar uma festa pra comemorar.
fatiado_158|Por uma semana, a sua direita não melhorou nada, e de alguma forma a sua esquerda ficou pior ainda. Você não sabe sacar, você tem medo da rede.
fatiado_159|Que a bola vier pro nosso lado sai da frente e deixa eu rebater.
fatiado_160|Neh não posso mais reclamar por não tocar na bola.
fatiado_161|Patolino? Tá fazendo o que aqui, doido?
fatiado_162|Eu vou jogar na final do torneio de pais e filhos, cê não sabia não?
fatiado_163|A dancinha russa!
fatiado_164|O velhinho não percebeu que o coelhinho aqui é medalha de ouro, sem querer me gabar.
fatiado_165|Ah, aquele alí não é o seu tio?
fatiado_166|Tenho aqui meu livro legal. Tenho aqui meu protetor solar. Eu não vou vier como se fosse o meu último dia de vida, eu vou dar uma relaxadinha que eu não sou besta.
fatiado_167|É o Basebol. É São Francisco. Discutível.
fatiado_168|Desculpe, me enganei. Eles diviam sinalizar esses botões mais claramente, vou tentar outro botão.
fatiado_169|O culpado é o mordomo do mordomo, né?
fatiado_170|Você não sabe nada sobre mim seu bobo. Aposto que se você procurar absurdo no dicionário, vai encontrar a sua foto.
fatiado_171|E eu vou mesmo. A prisão foi a melhor coisa que já aconteceu comigo e você não vai me afastar disso.
fatiado_172|Vamos dormir onde, bobo?
fatiado_173|Ele estava usando o meu roupão?
fatiado_174|Não banca o bobo não, rapaz. Eu ouvi você reclamando que o ar seco estava equizema.
fatiado_175|Parte da culpa é sua também.
fatiado_176|Agente era a coisa certa a fazer, e se tivesse que fazer de novo eu faria.
fatiado_177|Será que sumiu por causa disso aqui?
fatiado_178|Tratamento de beleza? Cê tem que ter um mês só pra fazer as sobrancelhas.
fatiado_179|Eu nunca pensei que diria isso, mas não é má ideia querido patolino.
fatiado_180|To mais preocupado com o pouco que você sabe sobre mim.
fatiado_181|Eu lembro de ter ouvido você torcer pra chuver a dois dias.
fatiado_182|Então come que o senhor explica essa corrente?
fatiado_183|Boa noite, Leopoldo!
fatiado_184|Com quem que cê tá falando homem?
